,user,movie_recommendation
163,163,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Valiant ', 'Robots ', 'Labyrinth ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Straight Story, The ', 'Epic ']"
164,164,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Goonies, The ', 'Enchanted ', 'Inside Out ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Girls Just Want to Have Fun ']"
165,165,"['Toy Story 3 ', 'Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ']"
166,166,"['Fun ', 'Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Moana ', 'Goonies, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
167,167,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ']"
168,168,"['Toy, The ', 'Toy Soldiers ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Fun with Dick and Jane ', 'Labyrinth ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
169,169,"['Toy Story 2 ', 'Toy Story 3 ', 'Fun ', 'Toy Soldiers ', 'Christmas Story, A ', 'In Search of the Castaways ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ']"
170,170,"['Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Love Story ', 'Girls Just Want to Have Fun ']"
171,171,"['Toy, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Fun with Dick and Jane ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Love Story ', 'Girls Just Want to Have Fun ']"
172,172,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
173,173,"['Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Valiant ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Love Story ']"
174,174,"['Toy Story 3 ', 'Toy, The ', 'Fun ', 'Christmas Story, A ', 'Wild, The ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
175,175,"['Fun ', 'Christmas Story, A ', 'Wild, The ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Love Story ']"
176,176,"['Toy, The ', 'Fun ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Moana ', 'Goonies, The ', 'NeverEnding Story III, The ', 'Robots ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Love Story ']"
177,177,"['Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Moana ', 'Enchanted ', 'Valiant ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Love Story ', 'Girls Just Want to Have Fun ', 'Halloweentown ', 'Gnomeo & Juliet ', 'Antz ']"
178,178,"['Fun ', 'NeverEnding Story, The ', 'In Search of the Castaways ', 'Turbo ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'A Detective Story ', 'NeverEnding Story II: The Next Chapter, The ', 'Shrek the Third ', 'Tale of Despereaux, The ']"
179,179,"['Toy Story 3 ', 'Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Love Story ']"
180,180,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Valiant ', 'Labyrinth ', 'A Story of Children and Film ', 'Rio 2 ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Girls Just Want to Have Fun ', 'Epic ', 'Watership Down ', 'Halloweentown ']"
181,181,"['Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Girls Just Want to Have Fun ', 'Watership Down ', 'Halloweentown ']"
182,182,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio ']"
183,183,"['Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Goonies, The ', 'Enchanted ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Love Story ', 'Girls Just Want to Have Fun ', 'Epic ', 'Watership Down ', 'Gnomeo & Juliet ']"
184,184,"['Christmas Story, A ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Watership Down ', 'Antz ']"
185,185,"['Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Shrek ', 'Moana ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Girls Just Want to Have Fun ']"
186,186,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ']"
187,187,"['Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'Tale of Despereaux, The ', 'Love Story ', 'Halloweentown ', 'Gnomeo & Juliet ', 'Antz ', 'Minions ']"
188,188,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Goonies, The ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Tale of Despereaux, The ']"
189,189,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Love Story ', 'Girls Just Want to Have Fun ', 'Halloweentown ']"
190,190,"['Toy Story 2 ', 'Toy Story 3 ', 'Toy, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Inside Out ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Love Story ']"
191,191,"['Toy Story 3 ', 'Toy, The ', 'Fun ', 'Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Shrek ', 'Moana ', ""Kid's Story "", 'NeverEnding Story III, The ', 'Valiant ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ']"
192,192,"['Toy, The ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Tale of Despereaux, The ', 'Love Story ']"
193,193,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ']"
194,194,"['Toy, The ', 'Fun ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Moana ', 'Goonies, The ', 'NeverEnding Story III, The ', 'Inside Out ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Love Story ', 'Girls Just Want to Have Fun ']"
195,195,"['Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'Inside Out ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Love Story ', 'Epic ']"
196,196,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Moana ', 'Enchanted ', 'NeverEnding Story III, The ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Straight Story, The ', 'Epic ']"
197,197,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Robots ', 'Inside Out ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
198,198,"['Toy Story 2 ', 'Toy, The ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'In Search of the Castaways ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Rio ', 'Love Story ', 'Girls Just Want to Have Fun ', 'Epic ', 'Watership Down ', 'Gnomeo & Juliet ', 'Antz ', 'Minions ']"
199,199,"['Toy, The ', 'Toy Soldiers ', 'Wild, The ', 'Home ', 'Turbo ', 'Shrek ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'Tale of Despereaux, The ', 'Girls Just Want to Have Fun ', 'Epic ', 'Halloweentown ', 'Antz ', 'Minions ']"
200,200,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'Valiant ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ']"
201,201,"['Toy Story 2 ', 'Toy Story 3 ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ']"
202,202,"['Toy Story 2 ', 'Fun ', 'Wild, The ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'Shrek the Third ', 'Tale of Despereaux, The ']"
203,203,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ']"
204,204,"['Toy, The ', 'Wild, The ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ']"
205,205,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', ""Kid's Story "", 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ']"
206,206,"['Toy Story 3 ', 'Toy, The ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Shrek ', 'Goonies, The ', 'Valiant ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Tale of Despereaux, The ', 'Girls Just Want to Have Fun ']"
207,207,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Madagascar ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ']"
208,208,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Toy Soldiers ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'NeverEnding Story III, The ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio ', 'Shrek the Third ', 'Love Story ', 'Girls Just Want to Have Fun ', 'Epic ', 'Halloweentown ', 'Antz ']"
209,209,"['Toy Story 3 ', 'Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Turbo ', 'Shrek ', 'Moana ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ']"
210,210,"['Toy Story 3 ', 'Toy, The ', 'Wild, The ', 'Home ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Love Story ', 'Girls Just Want to Have Fun ', 'Watership Down ', 'Gnomeo & Juliet ', 'Antz ', 'FairyTale: A True Story ']"
211,211,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'Home ', 'Shrek ', 'Moana ', 'Goonies, The ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ']"
212,212,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Robots ', 'Inside Out ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ']"
213,213,"['Toy, The ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'G.I. Joe: The Movie ']"
214,214,"['Toy, The ', 'Fun ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Robots ', 'Inside Out ', 'Labyrinth ', 'Nelly & Monsieur Arnaud ', 'Rio ', 'Tale of Despereaux, The ', 'Epic ', 'Watership Down ', 'Gnomeo & Juliet ']"
215,215,"['Toy Story 2 ', 'Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'NeverEnding Story III, The ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ']"
216,216,"['Toy, The ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', 'Shrek ', 'Moana ', 'Enchanted ', 'NeverEnding Story III, The ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
217,217,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Fun with Dick and Jane ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
218,218,"['Toy Story 2 ', 'Toy, The ', 'Toy Soldiers ', 'Christmas Story, A ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Inside Out ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'A Detective Story ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Love Story ']"
219,219,"['Toy Story 2 ', 'Toy, The ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Love Story ', 'Girls Just Want to Have Fun ']"
220,220,"['Toy, The ', 'Fun ', 'NeverEnding Story, The ', 'Wild, The ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Shrek the Third ']"
221,221,"['Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Tale of Despereaux, The ', 'Love Story ', 'Girls Just Want to Have Fun ']"
222,222,"['Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'Straight Story, The ', 'Love Story ', 'Watership Down ']"
223,223,"['NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'NeverEnding Story III, The ', 'Valiant ', 'Robots ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Love Story ', 'Epic ']"
224,224,"['Toy, The ', 'Fun ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'Tale of Despereaux, The ', 'Straight Story, The ', 'Love Story ', 'Girls Just Want to Have Fun ', 'Gnomeo & Juliet ']"
